label_budget_seed,budget_percent,case_id,label_visible
2026081901,10,AASCE:004,0
2026081901,10,AASCE:005,0
2026081901,10,AASCE:006,0
2026081901,10,AASCE:007,0
2026081901,10,AASCE:008,0
2026081901,10,AASCE:009,0
2026081901,10,AASCE:010,0
2026081901,10,AASCE:011,0
2026081901,10,AASCE:012,0
2026081901,10,AASCE:013,0
2026081901,10,AASCE:014,0
2026081901,10,AASCE:015,0
2026081901,10,AASCE:017,1
2026081901,10,AASCE:025,0
2026081901,10,AASCE:028,0
2026081901,10,AASCE:029,0
2026081901,10,AASCE:030,0
2026081901,10,AASCE:031,0
2026081901,10,AASCE:032,0
2026081901,10,AASCE:033,0
2026081901,10,AASCE:035,0
2026081901,10,AASCE:038,0
2026081901,10,AASCE:050,0
2026081901,10,AASCE:051,0
2026081901,10,AASCE:052,0
2026081901,10,AASCE:053,0
2026081901,10,AASCE:054,0
2026081901,10,AASCE:055,1
2026081901,10,AASCE:056,1
2026081901,10,AASCE:057,1
2026081901,10,AASCE:060,0
2026081901,10,AASCE:061,0
2026081901,10,AASCE:062,0
2026081901,10,AASCE:063,0
2026081901,10,AASCE:064,1
2026081901,10,AASCE:065,1
2026081901,10,AASCE:066,1
2026081901,10,AASCE:067,1
2026081901,10,AASCE:068,1
2026081901,10,AASCE:071,0
2026081901,10,AASCE:072,0
2026081901,10,AASCE:074,0
2026081901,10,AASCE:076,0
2026081901,10,AASCE:080,1
2026081901,10,AASCE:081,1
2026081901,10,AASCE:087,0
2026081901,10,AASCE:088,0
2026081901,10,AASCE:091,0
2026081901,10,AASCE:092,0
2026081901,10,AASCE:093,0
2026081901,10,AASCE:094,0
2026081901,10,AASCE:098,0
2026081901,10,AASCE:099,0
2026081901,10,AASCE:100,0
2026081901,10,AASCE:106,0
2026081901,10,AASCE:107,0
2026081901,10,AASCE:108,0
2026081901,10,AASCE:109,0
2026081901,10,AASCE:110,0
2026081901,10,AASCE:111,0
2026081901,10,AASCE:116,0
2026081901,10,AASCE:117,0
2026081901,10,AASCE:118,0
2026081901,10,AASCE:119,0
2026081901,10,AASCE:120,0
2026081901,10,AASCE:132,0
