case_id,source_row,containment_group,dataset_split,image_sha256
AASCE:000,0,2c851ede5eb4ef505b896503de662664e9eddafe74701f4b559713b81b63e286,LOCKED_BENCHMARK,0b2c461b36715baa8f963bbc099c9e3acfb2e2ff1228a924ab3d5766b64ff783
AASCE:001,1,2c851ede5eb4ef505b896503de662664e9eddafe74701f4b559713b81b63e286,LOCKED_BENCHMARK,1f59a522e25c1d9c73ef047e8f0db966c99219381080832279d414be957d95ba
AASCE:002,2,106825b01746af66b0970bedbc9d064698916925672a1146d1d94e253ee35082,VALIDATION,e7445844d3924716545d0cf7e75bb00747fdb774d210368f5019c7ef3e81726e
AASCE:003,3,106825b01746af66b0970bedbc9d064698916925672a1146d1d94e253ee35082,VALIDATION,8dd35cf4f3dab3a090e92c6d6077ed87332f1837401f46dc5dfdefde7403e9cf
AASCE:004,4,96e9349bebda5fbb1050511947ca1bca6bcb2f4ef03de7b77f0c675d0ec4c0ea,TRAINDEV,4fff9586c8b6061f4ed7f38350f379a021e858ed56dea464b6319841426b7dc2
AASCE:005,5,4283dc0c4b010035c77fd94dd18d2e318408519bcf17d3c624adf2397700a39c,TRAINDEV,ed09fbf43f17c2b22067a6ed30572bde8cab98a748a98f404357ec7276eced7a
AASCE:006,6,07568a1df7af3af9e5adedef38ede41fc730387eb52518f0d37f23859c0ced6b,TRAINDEV,033aa826b90af83ed36799dd0005ed36f4720cbfbaa00be82461ac4f8dbe06f5
AASCE:007,7,07568a1df7af3af9e5adedef38ede41fc730387eb52518f0d37f23859c0ced6b,TRAINDEV,af3ab59df23946c7a142b2e45a28af4ba25235290ca727e3fa70fe576e20ad4b
AASCE:008,8,810b468ac526e5ecf126927b5dae71aa8f8cb151dbb0739c0feeff410760ae30,TRAINDEV,543776955922f315bc54a8f7f5fcd8d06c9add4fe0353c0655334490fef8ddce
AASCE:009,9,810b468ac526e5ecf126927b5dae71aa8f8cb151dbb0739c0feeff410760ae30,TRAINDEV,d62b1bbe1fffdc81f02753ead03c5ade4317a2b0daac4d440f59d0c429bb2bd4
