case_id,subset,filename,image_sha256
SPINALAI:000001,Spinal-AI2024-subset1,000001.jpg,80110836df7971708930718b59726373b87523cc0e39cfbc8e9eae4ec18a355d
SPINALAI:000002,Spinal-AI2024-subset1,000002.jpg,e9757511149ea581cca00bd994449d11b858bfb05c7554053d346857734aa251
SPINALAI:000003,Spinal-AI2024-subset1,000003.jpg,654cead9a400ba6631cb45449bbb2983e617e65c57544a0b5b165e80a6b91e17
SPINALAI:000004,Spinal-AI2024-subset1,000004.jpg,1138f897ae7737d37d366fb293a808fc39787f22fd38e6b5058d994a8089a664
SPINALAI:000005,Spinal-AI2024-subset1,000005.jpg,84625f7e67d12ee9c93c37fe0899956e1245514cfd04693829da2ee4017aca75
SPINALAI:000006,Spinal-AI2024-subset1,000006.jpg,2afce7c8e46a1b79b1163fd7e9cd09b13a372bfea50e04e5e34adb2c91b230b1
SPINALAI:000007,Spinal-AI2024-subset1,000007.jpg,5afc455321b46e88a056805805b5fd360d7b4fefddff212a205fc28142f37340
SPINALAI:000008,Spinal-AI2024-subset1,000008.jpg,f5b916244f6e7be9f4a63e55e1492ef5f6360d15f18d0482f1d939b8f31610a8
SPINALAI:000009,Spinal-AI2024-subset1,000009.jpg,eb746513f8f604132d22999ce446938e6f77b3bba95285f84b850c93bfc07cde
SPINALAI:000010,Spinal-AI2024-subset1,000010.jpg,ae1518b93e93f441be341fba3760e7d07035ad910b1e3bdb6d6ae2cff726c56e
SPINALAI:000011,Spinal-AI2024-subset1,000011.jpg,02cc0e54383baab83b3a80cfe54faea2771e912aafcedb6e73dd9e5479732d23
SPINALAI:000012,Spinal-AI2024-subset1,000012.jpg,1c6682d331bdbc52cc92df644832418117de43c43ec8eb9c9d5c1fa9eb6908ea
SPINALAI:000013,Spinal-AI2024-subset1,000013.jpg,4c2997e5ea7410b06384af3be5c3cfe1db62cb72a3401bdbca14b86a3bb9aa04
SPINALAI:000014,Spinal-AI2024-subset1,000014.jpg,5c29973823569761ec80c787dd733a282d21fb658752618da07c85252006f15e
SPINALAI:000015,Spinal-AI2024-subset1,000015.jpg,4bfa83aad9f2f69d2937bcf10d78c97bbb80c22c80c42f6d6e6c325119444a95
SPINALAI:000016,Spinal-AI2024-subset1,000016.jpg,f851f759885ddc0b7c47a5acb0fd52213578aa96fe01616102b77acc1a2df2eb
SPINALAI:000017,Spinal-AI2024-subset1,000017.jpg,87c6f49171a06d1c7e4c25b186fe25791ab00ea62bae994c014f7cd48c167c4a
SPINALAI:000018,Spinal-AI2024-subset1,000018.jpg,636714932e5fc8ecf52edad4898b0a33b74e90a7013602ce9a50f04ffb35cb34
SPINALAI:000019,Spinal-AI2024-subset1,000019.jpg,6c95483b624cd8ad5bc0eb50f7d2f99b2c04d455eebcfeeae3aa183e0545983d
SPINALAI:000020,Spinal-AI2024-subset1,000020.jpg,0c68ecc7e61193ce27300109c8212900f6159f31dfdec2a81144a428db6781c1
SPINALAI:000021,Spinal-AI2024-subset1,000021.jpg,59c7c3f0707820f223ee70f156cb44e96df230ff88de979157153901364fb90c
SPINALAI:000022,Spinal-AI2024-subset1,000022.jpg,2e0d876e3422651f03a521ece1ca49a6df0351298ab75d5eac3c9f5e99d5fb4a
SPINALAI:000023,Spinal-AI2024-subset1,000023.jpg,ea13e1c0c2dcf173fdb51e4df28d24a8269a238d1a79e3715a1eadf304e14894
SPINALAI:000024,Spinal-AI2024-subset1,000024.jpg,073bf028b4fa32ceebea2f3a1d07633a9a63079aaf86cc57b8d3446174b6d3d5
SPINALAI:000025,Spinal-AI2024-subset1,000025.jpg,69b0ef1abbe09d39efab6980463cfe027b890b47718c1f1b6072c48603b99a8f
SPINALAI:000026,Spinal-AI2024-subset1,000026.jpg,21f5b25753f80e20eea364a8afa9cd6c921b347cb36914efe45d255abe33b2cf
SPINALAI:000027,Spinal-AI2024-subset1,000027.jpg,60c1a98fe0233b8c113233b7137bef3fb3fa988ce2bed15a74a2e25692794ff0
SPINALAI:000028,Spinal-AI2024-subset1,000028.jpg,ac2935fba8aaf21819f015a66ed55be8402a0681b532a8cd96bdc706bc76763f
SPINALAI:000029,Spinal-AI2024-subset1,000029.jpg,3b0a74ea58b105a3460e4d5c45ea11bdc041978f686f50754132a4038befe24f
SPINALAI:000030,Spinal-AI2024-subset1,000030.jpg,98d02102798bbba071a76edcf377c12cb59f2da9199fae856f91d4f15294b8a6
